dt,name,code,score
2016.02.22,씨젠,'096530,4
2016.02.22,보령제약,'003850,4
2016.02.19,에스엠,'041510,4
2016.02.18,코웨이,'021240,4
2016.02.17,코스맥스,'192820,4
2016.02.17,무학,'033920,4
2016.02.17,케이탑리츠,'145270,4
2016.02.17,OCI,'010060,4
2016.02.17,심텍,'222800,4
2016.02.17,한세실업,'105630,4
2016.02.16,GS리테일,'007070,4
2016.02.16,LG전자,'066570,4
2016.02.16,농심,'004370,4
2016.02.16,민앤지,'214180,4
2016.02.15,한국콜마,'161890,4
2016.02.15,인터파크,'108790,4
2016.02.15,오리온,'001800,4
2016.02.15,서울옥션,'063170,4
2016.02.15,한전기술,'052690,4
2016.02.15,한국가스공사,'036460,4
2016.03.07,태광,'023160,4
2016.03.07,한화테크윈,'012450,4
2016.03.07,파트론,'091700,4
2016.03.07,쿠쿠전자,'192400,4
2016.03.07,대우건설,'047040,4
2016.03.04,동국제약,'086450,4
2016.03.03,롯데푸드,'002270,4
2016.03.03,롯데하이마트,'071840,4
2016.03.03,두산인프라코어,'042670,4
2016.03.03,쌍용차,'003620,4
2016.03.02,현대산업,'012630,4
2016.03.02,대현,'016090,4
2016.03.02,농우바이오,'054050,4
2016.03.01,삼립식품,'005610,4
2016.03.01,CJ프레시웨이,'051500,4
2016.02.29,맥쿼리인프라,'088980,4
2016.02.29,한국전력,'015760,4
2016.02.29,하나투어,'039130,4
2016.02.29,SK,'034730,4
2016.02.25,한화케미칼,'009830,4
2016.02.24,대교,'019680,4
2016.02.24,유한양행,'000100,4
2016.02.24,하나투어,'039130,4
2016.03.24,에넥스,'011090,4
2016.03.23,컴투스,'078340,4
2016.03.23,코리안리,'003690,4
2016.03.21,KB손해보험,'002550,4
2016.03.21,서울반도체,'046890,4
2016.03.18,민앤지,'214180,4
2016.03.18,서울옥션,'063170,4
2016.03.18,삼성전기,'009150,4
2016.03.18,이마트,'139480,4
2016.03.17,삼성SDI,'006400,4
2016.03.17,동아쏘시오홀딩스,'000640,4
